DATE,UNRATE,CPI,SPY,VIX,OIL
11/30/16,4.7,102.3711379,197.8432732,15.2894999,45.88199978
12/31/16,4.7,102.7858761,205.6824668,12.47238096,52.16571499
1/31/17,4.6,102.8921976,208.5516281,11.6085,52.60849972
2/28/17,4.4,102.8474751,213.8867991,11.53052636,53.4621056
3/31/17,4.5,103.0618057,217.7083355,11.89782611,49.67391321
4/30/17,4.4,102.975314,217.2982041,13.13631585,51.117369
5/31/17,4.3,103.0381787,220.9505768,10.86227278,48.53954575
6/30/17,4.3,103.0643372,224.9516081,10.51363633,45.1959095
7/31/17,4.4,103.4546045,227.2814267,10.21421051,46.65421094
8/31/17,4.2,104.0224963,227.6877979,11.97565216,48.05782567
9/30/17,4.1,104.0672188,231.4958023,10.43799996,49.87699986
10/31/17,4.2,104.3714164,237.7606985,10.12545451,51.59454588
11/30/17,4.1,104.5224604,241.4689606,10.58399997,56.54850025
12/31/17,4,104.9380424,248.5833656,10.26450005,57.94699993
1/31/18,4.1,105.1823287,260.5784869,11.06238102,63.65904781
2/28/18,4,105.2738833,253.0244333,22.46473664,62.1836843
3/31/18,4,105.5936916,253.2601108,19.02380975,62.7719049
4/30/18,3.8,105.8092879,248.9859873,18.26761904,66.32523782
5/31/18,4,105.9637072,253.8814094,14.12454549,69.983181
6/30/18,3.8,106.045136,259.3019024,13.67809532,67.32285672
7/31/18,3.8,106.2096812,263.7092819,12.99800005,70.40400047
8/31/18,3.7,106.3986971,269.7730899,12.54695652,67.84521783
9/30/18,3.8,106.7007852,274.3662366,12.91052633,70.08473728
10/31/18,3.8,106.6682981,263.6735375,19.35217364,70.7578261
11/30/18,3.9,106.5294894,258.6279236,19.28249998,57.00699959
12/31/18,4,106.5075501,245.1030994,24.33555539,49.12444539
1/31/19,3.8,106.7303189,248.1632102,19.57238079,51.55047626
2/28/19,3.8,107.2273297,262.5995339,15.23473684,54.98052597
3/31/19,3.7,107.7247624,267.793893,14.48523808,58.16809518
4/30/19,3.7,107.7437483,277.6797427,12.94904759,63.87095261
5/31/19,3.6,107.7656877,273.403373,16.72181806,60.86545441
6/30/19,3.6,107.9774868,277.3396866,15.83599987,54.70650024
7/31/19,3.7,108.0589156,287.895425,13.34095237,57.55619067
8/31/19,3.5,108.2335866,278.8707581,18.97909091,54.84409055
9/30/19,3.6,108.5943202,287.5199936,15.55899987,56.96700001
10/31/19,3.6,108.8483105,287.4351634,15.46652176,54.00565255
11/30/19,3.6,108.9385993,299.9672498,12.51842102,57.17000018
12/31/19,3.5,109.1428041,307.4190094,13.81099997,59.73950005
1/31/20,3.5,109.2006059,317.8710327,13.94095244,57.5285719
2/29/20,4.4,108.8483105,318.257835,19.62894736,50.54210502
3/31/20,14.8,108.090137,257.9327753,57.7368184,30.4454546
4/30/20,13.3,107.9846593,269.3154144,41.45380965,16.69904768
5/31/20,11.1,108.5500196,285.1999588,30.89700003,28.52749996
6/30/20,10.2,109.1077855,303.7720115,31.1195455,38.31363609
7/31/20,8.4,109.4904585,314.2909809,26.84045462,40.76590919
8/31/20,7.8,109.7596375,332.7107428,22.88952382,42.38809513
9/30/20,6.9,109.8916955,330.6012152,27.64761907,39.62571407
10/31/20,6.7,110.087884,336.2425884,29.43863609,39.55454532
11/30/20,6.7,110.3549534,349.0167044,25.21421061,41.12631627
12/31/20,6.3,110.6380555,364.3496195,22.41428575,47.0128568
1/31/21,6.2,111.0304324,374.5148428,24.90999985,52.10210559
2/28/21,6,111.7189906,383.7278667,23.14052622,59.06105262
3/31/21,6.1,112.5792665,387.0041119,21.84304353,62.35739136
4/30/21,5.8,113.3045309,410.2496992,17.41619056,61.70380983
5/31/21,5.9,114.3297738,413.2959732,19.76049986,65.15699978
6/30/21,5.4,114.8715071,420.8227373,16.95681815,71.35272876
7/31/21,5.2,115.1866744,433.7048369,17.60333352,72.4304766
